,Senior Advisor,Tree Size,Tree Depth
913,~Jiawei_Han1,149,4
452,~Michael_Jordan1,131,4
3345,~Joan_Bresnan1,87,5
118,~Christopher_D_Manning1,86,4
1067,~Dimitris_N._Metaxas1,84,4
22891,Vladimir Vapnik,75,4
666,~Bernhard_Schölkopf1,74,3
761,~Leonidas_Guibas1,74,3
307,~Luc_Van_Gool1,71,3
19745,Stavros Christodoulakis,70,4
1325,~Christos_Faloutsos1,69,3
771,~Yoshua_Bengio1,68,2
4207,Jacob Abraham,65,4
948,~Larry_S._Davis1,64,3
641,~Dacheng_Tao1,64,2
721,~Sanjeev_Arora1,63,3
25766,~Ronald_Rivest1,61,4
8803,~Carlos_Guestrin1,61,3
1049,~Jiaya_Jia1,60,2
882,~Dan_Klein1,59,3
1030,~Tommi_S._Jaakkola1,59,3
699,~Leslie_Pack_Kaelbling1,58,4
15948,Whitman Richards,57,3
309,~Joshua_B._Tenenbaum1,56,2
652,~Zoubin_Ghahramani1,56,2
24608,~Eric_Grimson2,54,3
1306,~Tao_Xiang1,53,4
964,~Devavrat_Shah1,53,3
502,~Sergey_Levine1,53,2
2141,~Xiaogang_Wang2,53,2
1176,~Pieter_Abbeel2,52,2
584,~Song-Chun_Zhu1,51,3
2954,~huan_liu1,51,3
154,~Christos_H._Papadimitriou1,50,3
2969,~Bernt_Schiele1,50,3
7098,~Eric_Xing1,50,2
7539,~Michael_Collins1,49,4
503,~Zhi-Hua_Zhou2,49,3
1966,~Inderjit_S_Dhillon1,49,3
2732,~Victor_Lesser1,49,3
2795,~Michael_J._Black1,49,3
4167,~William_T._Freeman1,49,2
14,~Andreas_Krause1,48,2
2946,~Trevor_Darrell2,48,2
415,~Kaushik_Roy1,47,3
4680,~Massoud_Pedram1,45,3
2088,~Jinwoo_Shin1,45,2
2447,~Enhong_Chen1,45,2
8976,~Leslie_G._Valiant1,44,4
1071,~Andrew_Zisserman1,44,3
3298,~Aaron_Courville3,44,2
3460,~Li_Fei-Fei1,44,2
2739,~S._Shankar_Sastry1,43,3
408,~Jitendra_Malik2,43,2
